Date : 2025-03-23 19:52:50
Directory : f:\study\blog\social
Total : 250 files,  25687 codes, 1008 comments, 4104 blanks, all 30799 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| f:\study\blog\social\apps\social\components\ui\alert.tsx                                                           | TypeScript JSX     |         60 |          0 |          7 |         67 |
| f:\study\blog\social\apps\social\components\ui\aspect-ratio.tsx                                                    | TypeScript JSX     |          8 |          0 |          4 |         12 |
| f:\study\blog\social\apps\social\components\ui\avatar.tsx                                                          | TypeScript JSX     |         47 |          0 |          7 |         54 |
| f:\study\blog\social\apps\social\components\ui\badge.tsx                                                           | TypeScript JSX     |         41 |          0 |          6 |         47 |
| f:\study\blog\social\apps\social\components\ui\breadcrumb.tsx                                                      | TypeScript JSX     |         99 |          0 |         11 |        110 |
| f:\study\blog\social\apps\social\components\ui\button.tsx                                                          | TypeScript JSX     |         54 |          0 |          6 |         60 |
| f:\study\blog\social\apps\social\components\ui\calendar.tsx                                                        | TypeScript JSX     |         71 |          0 |          5 |         76 |
| f:\study\blog\social\apps\social\components\ui\card.tsx                                                            | TypeScript JSX     |         83 |          0 |         10 |         93 |
| f:\study\blog\social\apps\social\components\ui\carousel.tsx                                                        | TypeScript JSX     |        214 |          0 |         28 |        242 |
| f:\study\blog\social\apps\social\components\ui\chart.tsx                                                           | TypeScript JSX     |        315 |          2 |         37 |        354 |
| f:\study\blog\social\apps\social\components\ui\checkbox.tsx                                                        | TypeScript JSX     |         28 |          0 |          5 |         33 |
| f:\study\blog\social\apps\social\components\ui\collapsible.tsx                                                     | TypeScript JSX     |         28 |          0 |          6 |         34 |
| f:\study\blog\social\apps\social\components\ui\command.tsx                                                         | TypeScript JSX     |        165 |          0 |         13 |        178 |
| f:\study\blog\social\apps\social\components\ui\context-menu.tsx                                                    | TypeScript JSX     |        234 |          0 |         19 |        253 |
| f:\study\blog\social\apps\social\components\ui\dialog.tsx                                                          | TypeScript JSX     |        122 |          0 |         14 |        136 |
| f:\study\blog\social\apps\social\components\ui\drawer.tsx                                                          | TypeScript JSX     |        119 |          0 |         14 |        133 |
| f:\study\blog\social\apps\social\components\ui\dropdown-menu.tsx                                                   | TypeScript JSX     |        239 |          0 |         19 |        258 |
| f:\study\blog\social\apps\social\components\ui\form.tsx                                                            | TypeScript JSX     |        144 |          0 |         25 |        169 |
| f:\study\blog\social\apps\social\components\ui\hover-card.tsx                                                      | TypeScript JSX     |         38 |          0 |          7 |         45 |
| f:\study\blog\social\apps\social\components\ui\input-otp.tsx                                                       | TypeScript JSX     |         69 |          0 |          9 |         78 |
| f:\study\blog\social\apps\social\components\ui\input.tsx                                                           | TypeScript JSX     |         18 |          0 |          4 |         22 |
| f:\study\blog\social\apps\social\components\ui\label.tsx                                                           | TypeScript JSX     |         20 |          0 |          5 |         25 |
| f:\study\blog\social\apps\social\components\ui\menubar.tsx                                                         | TypeScript JSX     |        257 |          0 |         20 |        277 |
| f:\study\blog\social\apps\social\components\ui\navigation-menu.tsx                                                 | TypeScript JSX     |        157 |          0 |         12 |        169 |
| f:\study\blog\social\apps\social\components\ui\pagination.tsx                                                      | TypeScript JSX     |        117 |          0 |         11 |        128 |
| f:\study\blog\social\apps\social\components\ui\popover.tsx                                                         | TypeScript JSX     |         41 |          0 |          8 |         49 |
| f:\study\blog\social\apps\social\components\ui\progress.tsx                                                        | TypeScript JSX     |         27 |          0 |          5 |         32 |
| f:\study\blog\social\apps\social\components\ui\radio-group.tsx                                                     | TypeScript JSX     |         40 |          0 |          6 |         46 |
| f:\study\blog\social\apps\social\components\ui\resizable.tsx                                                       | TypeScript JSX     |         50 |          0 |          7 |         57 |
| f:\study\blog\social\apps\social\components\ui\scroll-area.tsx                                                     | TypeScript JSX     |         53 |          0 |          6 |         59 |
| f:\study\blog\social\apps\social\components\ui\select.tsx                                                          | TypeScript JSX     |        172 |          0 |         14 |        186 |
| f:\study\blog\social\apps\social\components\ui\separator.tsx                                                       | TypeScript JSX     |         24 |          0 |          5 |         29 |
| f:\study\blog\social\apps\social\components\ui\sheet.tsx                                                           | TypeScript JSX     |        126 |          0 |         14 |        140 |
| f:\study\blog\social\apps\social\components\ui\sidebar.tsx                                                         | TypeScript JSX     |        660 |         12 |         55 |        727 |
| f:\study\blog\social\apps\social\components\ui\skeleton.tsx                                                        | TypeScript JSX     |         11 |          0 |          3 |         14 |
| f:\study\blog\social\apps\social\components\ui\slider.tsx                                                          | TypeScript JSX     |         58 |          0 |          6 |         64 |
| f:\study\blog\social\apps\social\components\ui\sonner.tsx                                                          | TypeScript JSX     |         21 |          0 |          5 |         26 |
| f:\study\blog\social\apps\social\components\ui\switch.tsx                                                          | TypeScript JSX     |         27 |          0 |          5 |         32 |
| f:\study\blog\social\apps\social\components\ui\table.tsx                                                           | TypeScript JSX     |        105 |          0 |         12 |        117 |
| f:\study\blog\social\apps\social\components\ui\tabs.tsx                                                            | TypeScript JSX     |         59 |          0 |          8 |         67 |
| f:\study\blog\social\apps\social\components\ui\textarea.tsx                                                        | TypeScript JSX     |         15 |          0 |          4 |         19 |
| f:\study\blog\social\apps\social\components\ui\toggle-group.tsx                                                    | TypeScript JSX     |         66 |          0 |          8 |         74 |
| f:\study\blog\social\apps\social\components\ui\toggle.tsx                                                          | TypeScript JSX     |         42 |          0 |          6 |         48 |
| f:\study\blog\social\apps\social\components\ui\tooltip.tsx                                                         | TypeScript JSX     |         54 |          0 |          8 |         62 |
| f:\study\blog\social\apps\social\container\admin-contanier\auth-provider.tsx                                       | TypeScript JSX     |        105 |         13 |         23 |        141 |
| f:\study\blog\social\apps\social\container\admin-contanier\create-user-modal.tsx                                   | TypeScript JSX     |        207 |          1 |         16 |        224 |
| f:\study\blog\social\apps\social\container\admin-contanier\index.tsx                                               | TypeScript JSX     |        128 |          4 |         12 |        144 |
| f:\study\blog\social\apps\social\container\admin-contanier\post-edit-modal.tsx                                     | TypeScript JSX     |        162 |          6 |         19 |        187 |
| f:\study\blog\social\apps\social\container\admin-contanier\post-management.tsx                                     | TypeScript JSX     |        602 |         16 |         45 |        663 |
| f:\study\blog\social\apps\social\container\admin-contanier\post-view-modal.tsx                                     | TypeScript JSX     |        189 |          5 |         13 |        207 |
| f:\study\blog\social\apps\social\container\admin-contanier\user-edit-modal.tsx                                     | TypeScript JSX     |        110 |          2 |         18 |        130 |
| f:\study\blog\social\apps\social\container\admin-contanier\user-management.tsx                                     | TypeScript JSX     |        243 |          5 |         14 |        262 |
| f:\study\blog\social\apps\social\container\admin-contanier\user-statistics.tsx                                     | TypeScript JSX     |        173 |          0 |         13 |        186 |
| f:\study\blog\social\apps\social\container\auth-contanier\AuthContainer.tsx                                        | TypeScript JSX     |         62 |         11 |         14 |         87 |
| f:\study\blog\social\apps\social\container\auth-contanier\LoginForm.tsx                                            | TypeScript JSX     |        142 |          0 |         12 |        154 |
| f:\study\blog\social\apps\social\container\auth-contanier\SignupForm.tsx                                           | TypeScript JSX     |        166 |          0 |         11 |        177 |
| f:\study\blog\social\apps\social\container\chat-container\ChatBox.tsx                                              | TypeScript JSX     |        398 |         18 |         27 |        443 |
| f:\study\blog\social\apps\social\container\chat-container\ChatContainer.tsx                                        | TypeScript JSX     |        102 |         10 |         15 |        127 |
| f:\study\blog\social\apps\social\container\chat-container\ConversationItem.tsx                                     | TypeScript JSX     |         78 |          4 |         10 |         92 |
| f:\study\blog\social\apps\social\container\chat-container\ConversationList.tsx                                     | TypeScript JSX     |        114 |          6 |          7 |        127 |
| f:\study\blog\social\apps\social\container\chat-container\MessageInput.tsx                                         | TypeScript JSX     |        109 |         12 |         17 |        138 |
| f:\study\blog\social\apps\social\container\chat-container\index.ts                                                 | TypeScript         |          1 |          0 |          1 |          2 |
| f:\study\blog\social\apps\social\container\explore-contanier\SearchContainer.tsx                                   | TypeScript JSX     |        166 |          4 |         10 |        180 |
| f:\study\blog\social\apps\social\container\friends-container\FriendRequestsDialog.tsx                              | TypeScript JSX     |        129 |          0 |          8 |        137 |
| f:\study\blog\social\apps\social\container\friends-container\FriendSuggestions.tsx                                 | TypeScript JSX     |         84 |          0 |          7 |         91 |
| f:\study\blog\social\apps\social\container\friends-container\FriendsContainer.tsx                                  | TypeScript JSX     |         43 |          4 |          8 |         55 |
| f:\study\blog\social\apps\social\container\friends-container\FriendsList.tsx                                       | TypeScript JSX     |         58 |          0 |          5 |         63 |
| f:\study\blog\social\apps\social\container\friends-container\index.tsx                                             | TypeScript JSX     |          4 |          0 |          1 |          5 |
| f:\study\blog\social\apps\social\container\home-contanier\index.tsx                                                | TypeScript JSX     |         39 |          0 |          4 |         43 |
| f:\study\blog\social\apps\social\container\home-contanier\nav-sidebar.tsx                                          | TypeScript JSX     |        132 |          5 |          7 |        144 |
| f:\study\blog\social\apps\social\container\home-contanier\right-sidebar.tsx                                        | TypeScript JSX     |        167 |          5 |          7 |        179 |
| f:\study\blog\social\apps\social\container\home-contanier\top-navbar.tsx                                           | TypeScript JSX     |        164 |          3 |          8 |        175 |
| f:\study\blog\social\apps\social\container\mibt-contanier\MBTITest.tsx                                             | TypeScript JSX     |        362 |          8 |         36 |        406 |
| f:\study\blog\social\apps\social\container\notifications-container\NotificationIndicator.tsx                       | TypeScript JSX     |         18 |          0 |          5 |         23 |
| f:\study\blog\social\apps\social\container\notifications-container\NotificationsContainer.tsx                      | TypeScript JSX     |        112 |          6 |         13 |        131 |
| f:\study\blog\social\apps\social\container\notifications-container\index.tsx                                       | TypeScript JSX     |          2 |          0 |          1 |          3 |
| f:\study\blog\social\apps\social\container\profile-contanier\ProfileEditForm.tsx                                   | TypeScript JSX     |        161 |         23 |         14 |        198 |
| f:\study\blog\social\apps\social\container\profile-contanier\UserAvatar.tsx                                        | TypeScript JSX     |         45 |          0 |          6 |         51 |
| f:\study\blog\social\apps\social\container\profile-contanier\UserProfileContainer.tsx                              | TypeScript JSX     |        342 |         83 |         20 |        445 |
| f:\study\blog\social\apps\social\container\profile-contanier\index.tsx                                             | TypeScript JSX     |        314 |          6 |         13 |        333 |
| f:\study\blog\social\apps\social\hooks\use-echart.ts                                                               | TypeScript         |         19 |          5 |          5 |         29 |
| f:\study\blog\social\apps\social\hooks\use-mobile.ts                                                               | TypeScript         |         15 |          0 |          5 |         20 |
| f:\study\blog\social\apps\social\http\useAdmin.ts                                                                  | TypeScript         |        411 |         95 |         49 |        555 |
| f:\study\blog\social\apps\social\http\useAi.ts                                                                     | TypeScript         |         84 |         19 |         11 |        114 |
| f:\study\blog\social\apps\social\http\useAuth.ts                                                                   | TypeScript         |        113 |         43 |         18 |        174 |
| f:\study\blog\social\apps\social\http\useChat.ts                                                                   | TypeScript         |        225 |         50 |         38 |        313 |
| f:\study\blog\social\apps\social\http\useFriendship.ts                                                             | TypeScript         |         75 |         23 |         11 |        109 |
| f:\study\blog\social\apps\social\http\useMibt.ts                                                                   | TypeScript         |         30 |          8 |          4 |         42 |
| f:\study\blog\social\apps\social\http\useNotification.ts                                                           | TypeScript         |         48 |         15 |          6 |         69 |
| f:\study\blog\social\apps\social\http\usePost.ts                                                                   | TypeScript         |        258 |         63 |         29 |        350 |
| f:\study\blog\social\apps\social\http\useProfile.ts                                                                | TypeScript         |        111 |         18 |         12 |        141 |
| f:\study\blog\social\apps\social\http\useSearch.ts                                                                 | TypeScript         |         55 |          9 |          6 |         70 |
| f:\study\blog\social\apps\social\lib\http.ts                                                                       | TypeScript         |        159 |         22 |         19 |        200 |
| f:\study\blog\social\apps\social\lib\index.ts                                                                      | TypeScript         |          1 |          0 |          0 |          1 |
| f:\study\blog\social\apps\social\lib\utils.ts                                                                      | TypeScript         |         31 |          6 |          6 |         43 |
| f:\study\blog\social\apps\social\next.config.ts                                                                    | TypeScript         |         35 |          3 |          5 |         43 |
| f:\study\blog\social\apps\social\package.json                                                                      | JSON               |         97 |          0 |          1 |         98 |
| f:\study\blog\social\apps\social\postcss.config.mjs                                                                | JavaScript         |          4 |          0 |          2 |          6 |
| f:\study\blog\social\apps\social\provider\providers.tsx                                                            | TypeScript JSX     |         41 |          0 |          2 |         43 |
| f:\study\blog\social\apps\social\provider\query-provide.tsx                                                        | TypeScript JSX     |         37 |         11 |          7 |         55 |
| f:\study\blog\social\apps\social\public\MBTItest.json                                                              | JSON               |        655 |          0 |          1 |        656 |
| f:\study\blog\social\apps\social\store\chat.ts                                                                     | TypeScript         |         78 |         11 |         11 |        100 |
| f:\study\blog\social\apps\social\tsconfig.json                                                                     | JSON with Comments |         27 |          0 |          1 |         28 |
| f:\study\blog\social\biome.json                                                                                    | JSON               |         71 |          0 |          1 |         72 |
| f:\study\blog\social\package.json                                                                                  | JSON               |         48 |          0 |          1 |         49 |
| f:\study\blog\social\pnpm-lock.yaml                                                                                | YAML               |      6,905 |          0 |      1,727 |      8,632 |
| f:\study\blog\social\pnpm-workspace.yaml                                                                           | YAML               |          3 |          0 |          1 |          4 |
| f:\study\blog\social\server\socket\biome.json                                                                      | JSON               |         71 |          0 |          1 |         72 |
| f:\study\blog\social\server\socket\package.json                                                                    | JSON               |         23 |          0 |          1 |         24 |
| f:\study\blog\social\server\socket\src\index.ts                                                                    | TypeScript         |         70 |         15 |         14 |         99 |
| f:\study\blog\social\server\wey_backend\account\__init__.py                                                        | Python             |          0 |          0 |          1 |          1 |
| f:\study\blog\social\server\wey_backend\account\admin.py                                                           | Python             |         28 |          1 |          5 |         34 |
| f:\study\blog\social\server\wey_backend\account\admin_api.py                                                       | Python             |        171 |         11 |         51 |        233 |
| f:\study\blog\social\server\wey_backend\account\api.py                                                             | Python             |        188 |          8 |         53 |        249 |
| f:\study\blog\social\server\wey_backend\account\apps.py                                                            | Python             |          4 |          0 |          3 |          7 |
| f:\study\blog\social\server\wey_backend\account\forms.py                                                           | Python             |         11 |          0 |          5 |         16 |
| f:\study\blog\social\server\wey_backend\account\migrations\0001_initial.py                                         | Python             |         34 |          1 |          7 |         42 |
| f:\study\blog\social\server\wey_backend\account\migrations\0002_user_friends_friendshiprequest.py                  | Python             |         25 |          1 |          6 |         32 |
| f:\study\blog\social\server\wey_backend\account\migrations\0003_user_friends_count.py                              | Python             |         12 |          1 |          6 |         19 |
| f:\study\blog\social\server\wey_backend\account\migrations\0004_user_posts_count.py                                | Python             |         12 |          1 |          6 |         19 |
| f:\study\blog\social\server\wey_backend\account\migrations\0005_user_people_you_may_know.py                        | Python             |         13 |          1 |          6 |         20 |
| f:\study\blog\social\server\wey_backend\account\migrations\0006_user_bio.py                                        | Python             |         12 |          0 |          4 |         16 |
| f:\study\blog\social\server\wey_backend\account\migrations\0007_mibttestresult.py                                  | Python             |         28 |          1 |          6 |         35 |
| f:\study\blog\social\server\wey_backend\account\migrations\0008_user_is_admin.py                                   | Python             |         12 |          1 |          6 |         19 |
| f:\study\blog\social\server\wey_backend\account\migrations\__init__.py                                             | Python             |          0 |          0 |          1 |          1 |
| f:\study\blog\social\server\wey_backend\account\models.py                                                          | Python             |         87 |          5 |         28 |        120 |
| f:\study\blog\social\server\wey_backend\account\serializers.py                                                     | Python             |         35 |          0 |         10 |         45 |
| f:\study\blog\social\server\wey_backend\account\tests.py                                                           | Python             |          1 |          1 |          2 |          4 |
| f:\study\blog\social\server\wey_backend\account\urls.py                                                            | Python             |         26 |          2 |          4 |         32 |
| f:\study\blog\social\server\wey_backend\account\views.py                                                           | Python             |         13 |          0 |          5 |         18 |
| f:\study\blog\social\server\wey_backend\biome.json                                                                 | JSON               |         71 |          0 |          1 |         72 |
| f:\study\blog\social\server\wey_backend\chat\__init__.py                                                           | Python             |          0 |          0 |          1 |          1 |
